,date,new_cases_smoothed,new_deaths_smoothed,new_tests_smoothed,people_fully_vaccinated,new_vaccinations_smoothed
96,11/27/21,585846,6457.143,2371505,583992281,3172759
95,11/20/21,628977.001,8077.144,9787496,1359674815,9435497
94,11/13/21,537589.43,8254.713,9964230,1353074711,9187725
93,11/6/21,513861.144,8487.286,9459732,1345890060,8755426
92,10/30/21,506651.428,9922.572,9625143,1337873114,8073951
91,10/23/21,537157,11953.715,10093237,1329425431,5217729
90,10/16/21,606876.571,11470.142,10228735,1320635017,5377994
89,10/9/21,693726.572,12378.429,10841007,1310638029,6089756
88,10/2/21,787512.857,14172.429,11107617,1298944730,6028154
87,9/25/21,896420.287,14505,11551791,1285893041,4492885
86,9/18/21,1073305.858,13728,11841326,1270447736,4922294
85,9/11/21,1030218.572,11165.285,10682164,1253354017,4699892
84,9/4/21,1146752.142,10451.714,11571593,1237667152,5821449
83,8/28/21,1079995.572,8511.286,10570331,1219199939,5907858
82,8/21/21,1008615.572,6317.428,9561432,1201301572,5530208
81,8/14/21,889860.144,4318.429,8632268,1185850544,4943260
80,8/7/21,699755.285,3216,7294365,1173413698,4652714
79,7/31/21,488266.715,2304.143,6007617,1162627395,4198705
78,7/24/21,312243.428,1842.428,5022811,1152355933,3659164
77,7/17/21,197151.285,1826.856,4349219,1141432842,3357951
76,7/10/21,115520.713,1593.285,3701483,1129562849,3185606
75,7/3/21,89700.286,1811.142,4056509,1117551085,3860817
74,6/26/21,83489.858,2153,4330741,1102411045,4560428
73,6/19/21,87181.144,2202,4607316,1083152279,6145717
72,6/12/21,103153.715,2883.57,5099171,1054131965,7369865
71,6/5/21,109694.715,3529.999,4931832,1019122281,6521043
70,5/29/21,159018.285,4286.001,5848241,991514418,9629378
69,5/22/21,201505.285,4011.428,6596361,953641190,12894575
68,5/15/21,251209.715,4326.429,7298736,902490249,12918457
67,5/8/21,317422.858,4909.001,7901589,841336116,15165318
66,5/1/21,363839.286,4890.857,8541431,769717934,17834742
65,4/24/21,435206.999,5052.144,8794177,695485351,19761816
64,4/17/21,488927.857,5600.713,8934478,620081535,22504875
63,4/10/21,467814.713,6539.286,8582337,535996104,22996819
62,4/3/21,457515.285,6312.858,8569625,453208125,21806417
61,3/27/21,410753.287,7074,8589058,383681158,19269199
60,3/20/21,384959.857,7738.287,8551908,331869319,18217856
59,3/13/21,390469.428,9768.286,8801864,282486685,17515164
58,3/6/21,443947.428,12778.143,9098442,233282285,16262441
57,2/27/21,480489.284,14320.143,8951477,187523471,12753043
56,2/20/21,522401.714,14502.714,8214343,143576882,11311314
55,2/13/21,710822.285,19007.142,9827886,106538712,12372983
54,2/6/21,921516.285,21594.572,10719357,70325424,10946289
53,1/30/21,1112110.858,22658.573,11472606,43384984,9720493
52,1/23/21,1315592.001,21900.001,11991445,25032327,7712833
51,1/16/21,1661198.285,23460.144,12834201,14798988,6780455
50,1/9/21,1647051.715,20607.855,11759373,4487998,4324619
49,1/2/21,1363731,17722.856,10437437,213328,2669978
48,12/26/20,1420465.858,18240.572,12040954,91187,1966718
47,12/19/20,1542257.286,18868.429,12643427,38913,749237
46,12/12/20,1502084.572,17008.999,12803762,3903,0
45,12/5/20,1265047.429,13528,11719559,0,0
44,11/28/20,1202146,11385.427,12543166,0,0
43,11/21/20,1169556.143,9760.141,12245888,0,0
42,11/14/20,954086.142,7732.143,10577363,0,0
41,11/7/20,735946.285,6885.285,9358675,0,0
40,10/31/20,544995.999,5954,8769550,0,0
39,10/24/20,453191.143,5649.144,8262448,0,0
38,10/17/20,377210.285,5176.286,7767267,0,0
37,10/10/20,328686.714,5047.285,7645388,0,0
36,10/3/20,296772.143,5102.859,6785578,0,0
35,9/26/20,307153.571,5343.143,6886530,0,0
34,9/19/20,275292.714,5600.428,6518240,0,0
33,9/12/20,251937.428,5221.285,5604547,0,0
32,9/5/20,288632.57,6076.142,6025159,0,0
31,8/29/20,292321.144,6496.142,5935132,0,0
30,8/22/20,319781.143,6941.427,5884741,0,0
29,8/15/20,369185.714,7171.144,6098695,0,0
28,8/8/20,392394.571,7266.286,6096179,0,0
27,8/1/20,448327.001,7551.57,6458974,0,0
26,7/25/20,465648.285,6162.429,6763200,0,0
25,7/18/20,450598.716,5409.143,6489901,0,0
24,7/11/20,379993.572,4647.001,5650084,0,0
23,7/4/20,318893.571,3734.713,5210995,0,0
22,6/27/20,236755.001,3983.714,4543058,0,0
21,6/20/20,168493.858,4500,4127183,0,0
20,6/13/20,143893.715,5203.286,3718011,0,0
19,6/6/20,146660.858,6365.143,3501964,0,0
18,5/30/20,147715.714,6827,3091661,0,0
17,5/23/20,158080.857,9128.428,2848567,0,0
16,5/16/20,160437.571,10544.857,2586767,0,0
15,5/9/20,183539.001,12642.571,2123027,0,0
14,5/2/20,196261.715,13625.999,1754660,0,0
13,4/25/20,203734.428,15457.285,1349531,0,0
12,4/18/20,205217.715,15265,1126436,0,0
11,4/11/20,221573.857,13072.144,1121147,0,0
10,4/4/20,166446.715,6297.142,943841,0,0
9,3/28/20,74214.999,1675.287,640884,0,0
8,3/21/20,14643.429,262.285,230909,0,0
7,3/14/20,1562.714,31.001,29077,0,0
6,3/7/20,205.714,12.285,1164,0,0
5,2/29/20,5.002,0.286,0,0,0
4,2/22/20,1.43,0,0,0,0
3,2/15/20,1.859,0,0,0,0
2,2/8/20,4.998,0,0,0,0
1,2/1/20,4.142,0,0,0,0
0,1/25/20,0,0,0,0,0
