,link,date,rank,song,artist
0,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,1,Without Me,Halsey
1,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,2,"Thank U, Next",Ariana Grande
2,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
3,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,4,Sicko Mode,Travis Scott
4,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,5,High Hopes,Panic! At The Disco
5,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,6,Happier,Marshmello & Bastille
6,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,7,Girls Like You,Maroon 5 Featuring Cardi B
7,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,8,Drip Too Hard,Lil Baby & Gunna
8,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,9,ZEZE,Kodak Black Featuring Travis Scott & Offset
9,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,10,Better Now,Post Malone
10,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,11,Eastside,"benny blanco, Halsey & Khalid"
11,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,12,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
12,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,13,Wow.,Post Malone
13,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,14,Youngblood,5 Seconds Of Summer
14,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,15,Mo Bamba,Sheck Wes
15,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,16,Breathin,Ariana Grande
16,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,17,Money,Cardi B
17,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,18,Lucid Dreams,Juice WRLD
18,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,19,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
19,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,20,MIA,Bad Bunny Featuring Drake
20,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,21,Going Bad,Meek Mill Featuring Drake
21,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,22,Leave Me Alone,Flipp Dinero
22,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,23,Trip,Ella Mai
23,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,24,Speechless,Dan + Shay
24,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,25,Natural,Imagine Dragons
25,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,26,I Like It,"Cardi B, Bad Bunny & J Balvin"
26,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,27,Love Lies,Khalid & Normani
27,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,28,Beautiful,Bazzi Featuring Camila Cabello
28,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,29,Shallow,Lady Gaga & Bradley Cooper
